list_type,rank,artist,country,viberate_rank_overall,viberate_rank_genre,genre
Events,1,Justin Bieber,CAN,3,2,Pop
Events,2,Taylor Swift,USA,4,3,Pop
Events,3,The Weeknd,CAN,7,5,Pop
Events,4,Billie Eilish,USA,8,6,Pop
Events,5,Ariana Grande,USA,9,7,Pop
Events,6,Ed Sheeran,GBR,14,11,Pop
Events,7,J Balvin,COL,24,3,Latin
Events,8,Daddy Yankee,PRI,25,4,Latin
Festivals,1,Ed Sheeran,GBR,14,11,Pop
Festivals,2,Linkin Park,USA,34,3,Rock
Festivals,3,Post Malone,USA,54,7,Hip Hop
Festivals,4,Zara Larsson,SWE,56,33,Pop
Festivals,5,Alan Walker,NOR,73,3,Electronic
Festivals,6,Shawn Mendes,CAN,76,42,Pop
Festivals,7,The Chainsmokers,USA,125,5,Electronic
Festivals,8,Sam Smith,GBR,127,62,Pop
