"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"1","Queen","United Kingdom","Rock","Universal Music Group","73","35","72384","56888384","62577656","27830235360","336100","51990770","293061182","275","0","18900000","12784584","11611848184","78104","89906232","866","6876","3980219","115701","0","526","6429010","25683","-6182","26128655","6449","12660620","445","270670","98112","13718","9","82340","128","7886","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Guns N' Roses","United States","Rock","Universal Music Group","87","76","72450","36961128","41817032","13050581835","252844","36270098","153852283","156","100000","13300000","14221072","9241676266","58731","41860832","349","3823","1843543","11051","0","26922","8927306","402527","-7498","28896060","5434","8490587","395","159529","69696","630","60","40038","106","4799","N/A","N/A","N/A","N/A","N/A","N/A"
"3","AC/DC","Australia","Rock","N/A","92","69","58208","33693886","50491842","16387858131","124130","37397693","189257026","163","0","11600000","14675708","9201472389","68283","49972274","642","21808","1625542","247756","0","26992","6316705","197648","237","28348300","5824","9818816","574","187017","71456","1053","40","44165","94","3980","N/A","N/A","N/A","N/A","N/A","N/A"
"4","The Beatles","United Kingdom","Rock","Universal Music Group","103","125","43852","31693816","72144522","27623110105","519926","35675326","167504797","337","10000","9450000","8386248","4250484512","63232","34091013","N/A","14346","2307607","225944","0","19682","5667875","281472","-2763","36985792","4881","8011709","226","344953","1231","9453","8","84760","114","5620","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Elton John","United Kingdom","Pop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","151","64","33813","16290718","49760776","18861369459","1108658","49433012","452963676","217","0","5200000","8482260","4779415877","36151","29630286","212","-694","3382300","6531","0","2569","5853144","45580","2833","8085857","2554","2935722","136","60845","57750","6641","12","75486","144","7991","485","203","6","2554","33.39483824290624","21705.37389698313"
"6","Fleetwood Mac","United States","Rock","Warner Music Group","205","73","45252","14948920","80257931","16190382745","792985","52086586","141898868","1423","10000","2180000","5207279","1765995930","30601","10891997","8456","N/A","N/A","N/A","N/A","-59","200098","1842","-848","5035537","2201","1617055","286","75709","153233","1154","41","45348","115","5694","123327","35","0","0","0.4847232062233171","9.694464124466343"
"7","Aerosmith","United States","Rock","Universal Music Group, Sony Music Entertainment, Big Indie Labels","266","225","26741","16706345","19880208","7574071190","-425487","24980905","167062423","451","0","4320000","7422947","4513182824","33495","23297391","305","2732","365878","23564","0","2739","3482478","16481","-4442","16267708","2685","5279891","75","997891","27821","789","38","46972","119","5554","158186","4","0","0","0.052804092321101906","1.056081846422038"
"8","The Rolling Stones","United Kingdom","Blues","Universal Music Group","334","192","24206","16256103","29082353","12291087959","152903","27447453","193874371","1021","0","3600000","5927396","3631410246","29887","23552784","1472","809","711651","4864","0","1350","4228104","20689","-3146","18921711","4149","7012953","133","61699","59251","2084","22","58245","118","6041","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Dire Straits","United Kingdom","Rock","Universal Music Group","344","309","21170","9351268","33784831","7482184104","510744","26015432","96317316","594","0","2730000","7629988","2609272538","37555","13752558","N/A","450","305832","10565","0","823","299324","3394","-511","3415630","2590","2225253","N/A","N/A","N/A","37","78","35012","113","5787","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Foo Fighters","United States","Rock","Sony Music Entertainment, Big Indie Labels","354","266","21276","13477410","22601054","10230204766","94983","21955804","168977062","825","0","4170000","3819896","3173842408","22338","19762477","1266","3624","448977","30715","0","8667","5797484","98502","-586","11940257","2479","4534654","523","1798592","155387","5164","136","26892","83","2691","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Creedence Clearwater Revival","United States","Rock","Big Indie Labels, Universal Music Group","383","172","17644","8346276","34955848","10888734498","35009","33335480","140624575","748","10000","2470000","7423720","2087334346","44390","12718381","8547","1896","166382","19642","0","1012","276545","2856","-1156","4263906","1626","1563045","52","34201","70835","2699","140","24280","92","3489","6272","27","2","62","10.642229444479543","325.53390935997913"
"12","Scorpions","Germany","Rock","Universal Music Group, BMG","405","512","19460","9102222","15441554","4082034328","67610","18275292","110771809","461","0","5530000","10505505","5052526440","36983","23208616","1324","1600","556708","45182","0","1320","2293558","4985","3109","7549046","2346","3627590","116","41550","15130","396","112","29643","111","4787","N/A","N/A","N/A","N/A","N/A","N/A"
"13","David Bowie","United Kingdom","Rock","Warner Music Group, Universal Music Group, Big Indie Labels","410","286","20850","12263805","28423782","10743462965","301501","20180407","193394013","2102","0","2190000","3011038","1251182214","25975","11767987","N/A","3931","754664","91203","0","4420","3044644","96757","-2237","5814433","3471","2384886","160","93139","39010","641","36","45846","117","6274","6627","22","5","75","7.46911352428808","583.9762275293082"
"14","Led Zeppelin","United Kingdom","Rock","Warner Music Group","428","271","25157","16566768","22791664","9604448263","-42525","20447116","114799105","1498","10000","4170000","4617709","1670365611","34733","13661077","N/A","902","520318","1176","0","3575","1817046","2291","-3377","12862505","3732","5464409","259","110661","41599","1666","96","30331","87","3275","N/A","N/A","N/A","N/A","N/A","N/A"
"15","Eagles","United States","Rock","Warner Music Group, Big Indie Labels","459","251","24897","12640910","24587615","7741689385","453576","25154871","157269892","1040","10000","2380000","10411676","1459520868","42157","6513804","8732","140","3110","28","0","1451","206212","4611","-942","6106843","1426","1357216","110","35872","39198","225","64","37071","117","4920","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Avenged Sevenfold","United States","Metal","Warner Music Group","462","557","29203","12444970","27055754","7538455076","33828","11614776","40784044","929","10000","6930000","5835265","3535442098","26923","24205479","964","18720","797404","205493","0","10699","3453496","93034","-2551","15090490","1616","1898931","250","2986475","110469","494","1763","3939","55","510","N/A","N/A","N/A","N/A","N/A","N/A"
